City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.8,66,98,8.45,TF,1701018237
1,alice springs,-23.7,133.8833,17.75,100,100,0.0,AU,1701018237
2,puerto natales,-51.7236,-72.4875,9.77,51,56,8.13,CL,1701018069
3,stanley,54.868,-1.6985,3.2,92,75,0.51,GB,1701017992
4,puerto ayora,-0.7393,-90.3518,28.98,86,57,3.13,EC,1701018237
5,college,64.8569,-147.8028,-10.82,86,75,0.0,US,1701018237
6,longyearbyen,78.2186,15.6401,0.91,64,75,5.66,SJ,1701018013
7,jamestown,42.097,-79.2353,7.77,60,100,5.14,US,1701018237
8,aykhal,66.0,111.5,-20.33,100,97,3.75,RU,1701018237
9,margaret river,-33.95,115.0667,19.43,60,65,4.59,AU,1701018237
10,pandan,14.0453,124.1694,26.65,87,22,4.31,PH,1701018238
11,dul'durga,50.6761,113.5931,-19.15,95,40,2.21,RU,1701018238
12,wailua homesteads,22.0669,-159.378,23.44,87,20,6.17,US,1701018238
13,khandyga,62.6667,135.6,-33.96,97,100,0.45,RU,1701018238
14,arraial do cabo,-22.9661,-42.0278,24.92,69,75,7.72,BR,1701018238
15,alofi,-19.0595,-169.9187,25.71,88,30,6.46,NU,1701018238
16,dudinka,69.4058,86.1778,-26.54,100,98,2.09,RU,1701018238
17,adamstown,-25.066,-130.1015,20.81,87,100,12.59,PN,1701018239
18,udachny,66.4167,112.4,-18.1,98,99,3.94,RU,1701018239
19,wenling,28.3669,121.36,13.23,84,1,1.36,CN,1701018239
20,albany,42.6001,-73.9662,5.65,57,96,1.79,US,1701018239
21,ploudalmezeau,48.5333,-4.65,10.21,93,100,8.23,FR,1701018030
22,sisimiut,66.9395,-53.6735,-3.82,96,99,2.68,GL,1701018239
23,nova vicosa,-17.8919,-39.3719,26.61,61,73,5.35,BR,1701018239
24,bodo,67.28,14.405,-3.98,83,0,5.66,NO,1701017955
25,tabou,4.423,-7.3528,27.96,76,37,4.22,CI,1701018239
26,grytviken,-54.2811,-36.5092,2.79,99,100,3.13,GS,1701018239
27,hargeysa,9.56,44.065,18.18,68,53,4.01,SO,1701018239
28,ribeira grande,38.5167,-28.7,19.87,100,100,4.63,PT,1701018240
29,hithadhoo,-0.6,73.0833,28.09,73,36,1.95,MV,1701018032
30,hermanus,-34.4187,19.2345,19.27,74,30,2.02,ZA,1701018240
31,punta arenas,-53.15,-70.9167,10.06,39,59,10.8,CL,1701018240
32,ancud,-41.8697,-73.8203,15.26,73,100,1.94,CL,1701018171
33,arteche,12.2645,125.4048,25.82,89,34,2.43,PH,1701018240
34,whitehorse,60.7161,-135.0538,2.95,96,100,8.49,CA,1701018240
35,sechura,-5.5569,-80.8222,26.09,57,4,4.49,PE,1701018240
36,nar'yan-mar,67.6713,53.087,-17.16,96,100,1.34,RU,1701018240
37,holualoa,19.6228,-155.9522,21.54,79,75,0.45,US,1701018241
38,yellowknife,62.456,-114.3525,-15.33,92,99,2.68,CA,1701018241
39,saudarkrokur,65.7461,-19.6394,2.57,86,90,4.3,IS,1701018241
